Date;Day Of Week;Holiday;Tomorrow Holiday;WIND SPEED (m/s);WIND DIRECTION (°);TEMPERATURE (ºC);RELATIVE HUMIDITY (%);BARIOMETRIC PRESSURE (mb);SOLAR RADIATION (W/m2);PRECIPITATION (l/m2)
2022-01-01;Saturday;True;False;0.48777777777777775;56.77777777777778;9.686363636363636;62.285714285714285;953.8571428571429;101.0;0.0
2022-01-02;Sunday;False;False;0.47555555555555556;31.555555555555557;8.945454545454545;67.71428571428571;954.4285714285714;90.14285714285714;0.0
2022-01-03;Monday;False;False;0.5522222222222222;41.22222222222222;8.981818181818182;76.23809523809524;951.7142857142857;94.71428571428571;0.0
2022-01-04;Tuesday;False;False;1.39;96.22222222222223;7.15;83.61904761904762;943.1428571428571;47.0;4.655555555555555
2022-01-05;Wednesday;False;True;1.6433333333333333;148.33333333333334;6.286363636363637;72.38095238095238;944.5714285714286;82.0;3.7666666666666666
2022-01-06;Thursday;True;False;0.6599999999999999;64.22222222222223;4.572727272727272;76.42857142857143;946.2857142857143;111.0;0.022222222222222223
2022-01-07;Friday;False;False;0.8288888888888889;20.0;5.2272727272727275;66.61904761904762;952.1428571428571;109.57142857142857;0.0
2022-01-08;Saturday;False;False;0.6944444444444444;35.0;3.4318181818181817;76.19047619047619;952.8571428571429;76.71428571428571;0.0
2022-01-09;Sunday;False;False;1.9155555555555555;152.11111111111111;8.713636363636365;71.28571428571429;948.7142857142857;98.85714285714286;0.0
2022-01-10;Monday;False;False;1.4533333333333334;17.444444444444443;11.761904761904763;69.3;947.8571428571429;120.57142857142857;0.0
2022-01-11;Tuesday;False;False;0.7611111111111111;12.666666666666666;9.861904761904762;67.3;950.2857142857143;109.0;0.0
2022-01-12;Wednesday;False;False;0.8533333333333333;53.333333333333336;6.9714285714285715;57.85;952.8571428571429;117.71428571428571;0.0
2022-01-13;Thursday;False;False;0.7533333333333334;23.0;4.786363636363636;60.857142857142854;956.1428571428571;95.71428571428571;0.0
2022-01-14;Friday;False;False;0.749;34.0;3.8434782608695657;62.95454545454545;955.7142857142857;117.0;0.0
2022-01-15;Saturday;False;False;0.546;51.5;3.739130434782609;63.0;952.5;115.375;0.0
2022-01-16;Sunday;False;False;0.485;84.8;3.8347826086956522;67.72727272727273;954.125;117.625;0.0
2022-01-17;Monday;False;False;0.485;64.55555555555556;4.48695652173913;63.45454545454545;955.5;109.625;0.0
2022-01-18;Tuesday;False;False;0.45444444444444443;12.666666666666666;4.678260869565217;55.13636363636363;953.7142857142857;117.625;0.0
2022-01-19;Wednesday;False;False;0.4366666666666667;73.4;4.539130434782609;48.0;952.8571428571429;118.875;0.0
2022-01-20;Thursday;False;False;0.8957142857142857;31.428571428571427;5.035;54.8421052631579;950.0;115.2;0.0
2022-01-21;Friday;False;False;0.6599999999999999;28.666666666666668;3.5818181818181816;58.714285714285715;950.3333333333334;122.14285714285714;0.0
2022-01-22;Saturday;False;False;0.7211111111111111;12.88888888888889;3.7818181818181817;57.0;951.8571428571429;118.14285714285714;0.0
2022-01-23;Sunday;False;False;0.602;20.3;3.9478260869565216;69.0;951.125;91.125;0.0
2022-01-24;Monday;False;False;0.636;20.6;4.930434782608696;64.86363636363636;951.875;56.5;0.0
2022-01-25;Tuesday;False;False;0.76;38.9;6.380952380952381;61.35;954.375;55.375;0.0
